mode,n_tasks,rep,overlap,cross_dim,shared_count_all,shared_ratio_all
decode-step-t,7,3,0.9716289639472961,568,156,0.2746478873239437
decode-step-t,7,4,0.9678395986557007,561,162,0.2887700534759358
decode-step-t,7,5,0.9805863499641418,587,150,0.2555366269165247
decode-step-t,7,6,0.9784449338912964,581,152,0.26161790017211706
decode-step-t,7,7,0.9678395986557007,561,162,0.2887700534759358
decode-step-t,7,8,0.9784449338912964,581,152,0.26161790017211706
decode-step-t,7,9,0.9722387790679932,562,164,0.2918149466192171
decode-step-t,7,10,0.9805863499641418,587,150,0.2555366269165247
decode-step-t,7,11,0.9722387790679932,562,164,0.2918149466192171
decode-step-t,7,12,0.9716289639472961,568,156,0.2746478873239437
decode-step-t,7,13,0.9722387790679932,562,164,0.2918149466192171
decode-step-t,7,14,0.975063681602478,582,125,0.21477663230240548
decode-step-t,7,15,0.9754130840301514,570,148,0.2596491228070175
decode-step-t,7,16,0.9805863499641418,587,150,0.2555366269165247
decode-step-t,7,17,0.9764227271080017,587,144,0.2453151618398637
decode-step-t,7,18,0.9764227271080017,587,144,0.2453151618398637
decode-step-t,7,19,0.9754130840301514,570,148,0.2596491228070175
decode-step-t,8,0,1.0,644,162,0.2515527950310559
decode-step-t,8,1,1.0,644,162,0.2515527950310559
decode-step-t,8,2,1.0,644,162,0.2515527950310559
decode-step-t,8,3,1.0,644,162,0.2515527950310559
decode-step-t,8,4,1.0,644,162,0.2515527950310559
decode-step-t,8,5,1.0,644,162,0.2515527950310559
decode-step-t,8,6,1.0,644,162,0.2515527950310559
decode-step-t,8,7,1.0,644,162,0.2515527950310559
decode-step-t,8,8,1.0,644,162,0.2515527950310559
decode-step-t,8,9,1.0,644,162,0.2515527950310559
decode-step-t,8,10,1.0,644,162,0.2515527950310559
decode-step-t,8,11,1.0,644,162,0.2515527950310559
decode-step-t,8,12,1.0,644,162,0.2515527950310559
decode-step-t,8,13,1.0,644,162,0.2515527950310559
decode-step-t,8,14,1.0,644,162,0.2515527950310559
decode-step-t,8,15,1.0,644,162,0.2515527950310559
decode-step-t,8,16,1.0,644,162,0.2515527950310559
decode-step-t,8,17,1.0,644,162,0.2515527950310559
decode-step-t,8,18,1.0,644,162,0.2515527950310559
decode-step-t,8,19,1.0,644,162,0.2515527950310559
